                       	memmem	simple_memmem
String 5CO>N3L1B[ZXVHB7EDL, offset 5504:	10896.8	27760.4
String SQF[791[LR1N30X3ZDF6@<6YM?H@OI, offset 7856:	33751.6	50967.6
String L@U<TW5CTMJPG0Y[>OLIN, offset 1435:	6953.94	9706.22
String 50I9J694MR[OPPQU6GP7X, offset 6874:	13523	34629.7
String 1IMRD2BLP>, offset 1400:	2981.77	7154.95
String 1L, offset 339:	812.172	1822.92
String @?3K, offset 61560:	279646	392945
String W2UL, offset 372:	1747.23	2849.94
String A1@19I?@[I, offset 282:	1517.75	1927.89
String TIXB[QU1WDQ=8@5G37>IPE05C2Q?, offset 71775:	302055	492182
String P79GNESSN[1SA0987BWB, offset 28869:	121696	190693
String 3, offset 163838:	309784	823993
String Y63R[C, offset 1894:	8768.72	11847.3
String =VC53X<V, offset 4968:	23064	32228.2
String HB38PM5D, offset 83051:	389310	582107
String 4, offset 163838:	309566	823969
String 7, offset 163838:	309746	824333
String 2?ZRYG[EVD[T<, offset 48625:	92881.7	245378
String U59I, offset 427:	1738.28	3077.81
String >LKHCLDD2B>VQ?DLU9JBBLQ, offset 26824:	124735	173747
String E>I?XF@H7>UNTO??L8ZJVOU, offset 29630:	140099	193709
String 4FUQ=4K4Q>C88O>ZE9N17MAB60EKMG, offset 576:	1870.11	3036.3
String SIT6IR6?O[6, offset 34109:	159253	221392
String 6M>, offset 4666:	8983.56	23548.2
String DPQ4H, offset 10415:	43938.8	72725.4
String 8?<Q3MOD2S, offset 24134:	45885.4	121531
String E<8YUX8LV, offset 21841:	91996.2	139992
String >J2DL0NFEP8489QJ0D@HWO, offset 253:	1720.38	1704.09
String 3UV8H3OP, offset 19400:	36878.2	97788.9
String 9@5HGU<VB?9A7H92OS28?, offset 310:	1190.59	1685.39
String GRDN?YM>L8JF, offset 79640:	334673	516925
String 4FKLPWGZRGUR=PV, offset 61471:	117135	309728
String G5HRUWSQX?, offset 75532:	351348	484453
String GSAN0, offset 17558:	73959.1	111156
String 1, offset 22351:	42485.3	112472
String NU4<TR<[GDPQDSIAQY?, offset 21881:	102133	142766
String 77>>ET, offset 1212:	2548.02	6215.83
String 1, offset 163838:	309707	824231
String G7C51BGJ9XPGGDZY[1V, offset 102676:	477692	665946
String XAQ=U[@E?H>1BM=HNEBX[>ES4<, offset 18757:	79210.6	121660
String 475@I275OVJGB@HWUZDH9FD4TBBCGBJ, offset 745:	2185.06	3876.95
String TA59U35C80ZOYNP, offset 5231:	25101.7	36245.1
String 71B5=, offset 59420:	112996	299480
String JH?AC1, offset 16044:	67433.3	102496
String DU5B5FX9@@7P@LY, offset 7511:	26510.4	53309.7
String 2, offset 163838:	309559	824166
String Q7Z=6TCDPMQAGY2@4P6RH<929BDCLSG, offset 17928:	75668.1	115955
String WMUL403JWXEAAK394>Z, offset 372:	1658.52	2974.44
String 9LAVPTQDP, offset 395:	1063.62	2101.25
String 7, offset 163838:	309664	824084
String =6TK6=3Q, offset 68730:	288695	441917
String D>?WU[5P, offset 10498:	44164.2	67905.3
String XC335@IZ, offset 9904:	40555	63357.8
String W0TPD3<U[8465CIZ6N>B>M46<POR, offset 18995:	88471.7	133355
String L8X1[9P?[1P, offset 59785:	251697	385615
String <[DQ<<UP@AV735A811NGI0Q94<5PK[, offset 23340:	98476.6	150807
String =NT8U@RQNMLGWK>FZYWQ6C[TP, offset 6724:	31588.5	43612.5
String 5, offset 163838:	309522	823944
String @OAYOS@KIL33N5@Q47MG7@FY8I0YQM, offset 25735:	120658	174818
String FGG5DC@Y[?ZDXW@APO, offset 136:	1092.12	1006.67
String 1T47S1=U2Q3?>H, offset 2821:	5764.17	14281.4
String 9, offset 17058:	32470.7	85791
String 5XW2, offset 147:	501.297	854.484
String JVX[K4C0DE1?[02JJK7=EJIS, offset 15900:	67439.8	103389
String YUFQVI@5QWTER, offset 96900:	406925	621047
String 2>48GNLJZ6WRT, offset 10282:	19771.3	51718.8
String 6R49[>@1Y8G1M2C[YQQ3BXH, offset 16652:	32278.6	83815.1
String 9, offset 163838:	309453	824279
String VQCKRFZ@7=G=Y, offset 607:	2945.95	4870.61
String 4MDDF2T=EP28K, offset 66091:	125701	332966
String 8, offset 163838:	309665	824250
String 7, offset 12468:	23563.6	62669.3
String LSDD0N<TA?5F?>QK5C[3, offset 2640:	12465.8	17084.1
String RW5CPVX8E3EP?MR8, offset 16639:	70301.1	116601
String @KR8, offset 2944:	12221.7	18840.3
String D4, offset 25822:	108285	163980
String OAWUGY95HN?C, offset 10174:	42950.8	64539.4
String 6X7T, offset 113520:	215089	571718
String PF<[G3V3J9T6, offset 2997:	12930.5	19710.3
String 978Y0K2RWM5ULQ1AR6, offset 22708:	43322.8	114401
String 4KWICMH9AQER5PXHV9, offset 89021:	169209	448160
String VN36WVW85S<FX6H5<YX826K8H1A, offset 80405:	338269	519379
String FAT1??HVW6AMPX, offset 77008:	273499	497543
String R216?UHLT1UQLLQKR@H1Z9R<YK5, offset 9945:	47522	63941.2
String IIBY6, offset 1156:	5059.41	7899.58
String 56UDY78R@, offset 18221:	34675.3	91863.6
String 3, offset 1019:	2023.92	5198.56
String 8ZL94KL27ER, offset 5052:	9876.3	25484.2
String L6GY, offset 90210:	409319	572016
String 8DAWYPCL=HKW2?0RLGS4, offset 27383:	52200.5	137820
String =YZ?WC[IEH1JN2UXHFCW@X>PNINRHO, offset 618:	3194.98	4193.52
String 6WSPKVRL@<VJZA, offset 2322:	4790.86	11947.4
String Q5@Y, offset 5597:	25376.8	35971.7
String 61WH4TXUTF30<8DQU, offset 98041:	185768	493529
String PMAX9MH4EB4HX9WW, offset 6688:	31419.3	44220.4
String ZF?6VPWU[3QU>R5MP5K2@?WF, offset 41031:	173118	284982
String 33UE=E6XF, offset 86697:	164487	436440
String SI1Y, offset 1891:	8662.11	13059.1
String YGG?2HKKRQH, offset 18797:	79019.4	121828
String MT>66I9G?[YFM>1VX92H5LM6L75NG, offset 1292:	6123.05	8485.52
String VI@RSDV3GE116E<E22NKQM[V>13GW, offset 3855:	18518.1	26883.1
String 8, offset 163838:	309708	824276
String 9, offset 163838:	309504	824175
String Y41NA1EVQTL47AG0@35Q, offset 1270:	5807.28	7961.44
String JL7EEG1OM67C1ZY5TS, offset 4482:	21495.8	29117.8
String VE0B, offset 351:	1660.16	2948.41
