                       	strtok	oldstrtok
Length    6/3, alignment  3/ 0, found:	553.391	1031.09
Length    6/3, alignment  3/ 0, fail:	582.688	1062.02
Length    6/3, alignment  3/ 3, found:	553.391	1031.08
Length    6/3, alignment  3/ 3, fail:	581.875	1051.42
Length    6/3, alignment  3/ 9, found:	560.719	1021.33
Length    6/3, alignment  3/ 9, fail:	590.016	1050.62
Length    6/3, alignment  3/15, found:	552.578	1031.09
Length    6/3, alignment  3/15, fail:	581.859	1057.95
Length    6/3, alignment  9/ 0, found:	553.391	1031.08
Length    6/3, alignment  9/ 0, fail:	582.672	1052.25
Length    6/3, alignment  9/ 3, found:	561.516	1022.12
Length    6/3, alignment  9/ 3, fail:	590.828	1052.23
Length    6/3, alignment  9/ 9, found:	553.375	1030.28
Length    6/3, alignment  9/ 9, fail:	581.859	1058.77
Length    6/3, alignment  9/15, found:	553.375	1029.45
Length    6/3, alignment  9/15, fail:	580.234	1051.44
Length    6/3, alignment 15/ 0, found:	560.719	1021.33
Length    6/3, alignment 15/ 0, fail:	581.062	1051.42
Length    6/3, alignment 15/ 3, found:	553.391	1031.08
Length    6/3, alignment 15/ 3, fail:	581.875	1059.56
Length    6/3, alignment 15/ 9, found:	553.375	1029.47
Length    6/3, alignment 15/ 9, fail:	590	1051.44
Length    6/3, alignment 15/15, found:	564.781	1021.33
Length    6/3, alignment 15/15, fail:	581.859	1060.38
Length    9/3, alignment  0/ 0, found:	577.797	1064.45
