                            	strncat	stupid_strncat
Length 1024/1024, alignment  1/ 6, N  512:	1748.86	7336.42
Length 1024/ 256, alignment  0/ 0, N  512:	1187.34	3479.83
Length 1024/ 256, alignment  1/ 6, N  512:	1512.86	3482.27
Length   16/   1, alignment  1/ 2, N  512:	155.438	122.078
Length   16/   1, alignment  2/ 1, N  512:	181.469	122.875
Length   16/  10, alignment  1/ 1, N  512:	188.797	179.031
Length   32/   1, alignment  2/ 4, N  512:	201.828	190.422
Length   32/   1, alignment  4/ 2, N  512:	262.859	189.609
Length   32/  10, alignment  2/ 2, N  512:	222.156	244.141
Length   64/   1, alignment  3/ 6, N  512:	271	322.266
Length   64/   1, alignment  6/ 3, N  512:	394.703	322.266
Length   64/  10, alignment  3/ 3, N  512:	300.297	378.422
Length  128/   1, alignment  4/ 0, N  512:	393.062	589.203
Length  128/   1, alignment  0/ 4, N  512:	719.391	589.203
Length  128/  10, alignment  4/ 4, N  512:	440.266	644.531
Length  256/   1, alignment  5/ 2, N  512:	661.625	1131.19
Length  256/   1, alignment  2/ 5, N  512:	1234.53	1122.23
Length  256/  10, alignment  5/ 5, N  512:	691.734	1187.33
Length  512/   1, alignment  6/ 4, N  512:	1180.02	2194.83
Length  512/   1, alignment  4/ 6, N  512:	2382.81	2196.44
Length  512/  10, alignment  6/ 6, N  512:	1163.75	2251.78
Length 1024/   1, alignment  7/ 6, N  512:	1040.84	2205.39
Length 1024/   1, alignment  6/ 7, N  512:	2377.12	2196.45
Length 1024/  10, alignment  7/ 7, N  512:	1221.52	2250.98
Length    2/   2, alignment  0/ 2, N 2048:	96.8438	58.5938
Length    4/   4, alignment  0/ 0, N 2048:	131.016	85.4375
Length    4/   4, alignment  4/ 0, N 2048:	131.016	84.6406
Length    8/   8, alignment  0/ 0, N 2048:	157.062	135.094
Length    8/   8, alignment  0/ 0, N 2048:	148.109	134.281
Length   16/  16, alignment  0/ 0, N 2048:	200.203	207.516
Length   16/  16, alignment  7/ 2, N 2048:	202.641	208.328
Length   16/   4, alignment  0/ 0, N 2048:	161.953	141.609
Length   16/   4, alignment  7/ 2, N 2048:	158.688	135.891
Length   32/  32, alignment  0/ 0, N 2048:	226.25	363.766
Length   32/  32, alignment  6/ 4, N 2048:	237.625	354
Length   32/   8, alignment  0/ 0, N 2048:	185.547	234.375
Length   32/   8, alignment  6/ 4, N 2048:	211.594	234.375
Length   64/  64, alignment  0/ 0, N 2048:	302.734	648.609
Length   64/  64, alignment  5/ 6, N 2048:	340.984	647.781
Length   64/  16, alignment  0/ 0, N 2048:	273.438	407.703
Length   64/  16, alignment  5/ 6, N 2048:	305.172	408.531
Length  128/ 128, alignment  0/ 0, N 2048:	458.172	1241.05
Length  128/ 128, alignment  4/ 0, N 2048:	462.25	1234.53
Length  128/  32, alignment  0/ 0, N 2048:	397.141	754.406
Length  128/  32, alignment  4/ 0, N 2048:	400.391	764.156
Length  256/ 256, alignment  0/ 0, N 2048:	745.438	2423.5
Length  256/ 256, alignment  3/ 2, N 2048:	835.766	2422.69
Length  256/  64, alignment  0/ 0, N 2048:	636.391	1455.08
Length  256/  64, alignment  3/ 2, N 2048:	736.5	1455.08
Length  512/ 512, alignment  0/ 0, N 2048:	1328.12	4777.02
Length  512/ 512, alignment  2/ 4, N 2048:	1493.33	4776.2
Length  512/ 128, alignment  0/ 0, N 2048:	1129.55	2842.61
Length  512/ 128, alignment  2/ 4, N 2048:	1284.19	2841.8
Length 1024/1024, alignment  0/ 0, N 2048:	2490.23	9484.05
Length 1024/1024, alignment  1/ 6, N 2048:	2780.77	9484.05
Length 1024/ 256, alignment  0/ 0, N 2048:	2083.34	5629.06
Length 1024/ 256, alignment  1/ 6, N 2048:	2372.23	5631.52
Length   16/   1, alignment  1/ 2, N 2048:	155.438	122.062
Length   16/   1, alignment  2/ 1, N 2048:	189.609	122.062
Length   16/  10, alignment  1/ 1, N 2048:	189.625	177.422
Length   32/   1, alignment  2/ 4, N 2048:	201	188.812
Length   32/   1, alignment  4/ 2, N 2048:	263.672	196.125
Length   32/  10, alignment  2/ 2, N 2048:	221.359	431.328
Length   64/   1, alignment  3/ 6, N 2048:	266.109	332.031
Length   64/   1, alignment  6/ 3, N 2048:	394.703	322.266
Length   64/  10, alignment  3/ 3, N 2048:	309.234	385.75
Length  128/   1, alignment  4/ 0, N 2048:	391.438	588.375
Length  128/   1, alignment  0/ 4, N 2048:	725.922	588.375
Length  128/  10, alignment  4/ 4, N 2048:	431.312	653.484
Length  256/   1, alignment  5/ 2, N 2048:	662.438	1130.36
Length  256/   1, alignment  2/ 5, N 2048:	1232.92	1123.05
Length  256/  10, alignment  5/ 5, N 2048:	699.875	1178.38
Length  512/   1, alignment  6/ 4, N 2048:	1180.02	2203.77
Length  512/   1, alignment  4/ 6, N 2048:	2389.33	2197.27
Length  512/  10, alignment  6/ 6, N 2048:	1173.52	2253.42
Length 1024/   1, alignment  7/ 6, N 2048:	1936.84	4337.58
Length 1024/   1, alignment  6/ 7, N 2048:	4613.44	4336.75
Length 1024/  10, alignment  7/ 7, N 2048:	2247.72	4393.72
