                       	strstr	simple_strstr	stupid_strstr
Length   28/2, alignment  9/ 9, found:	271	286.453	370.281
Length   28/2, alignment  9/ 9, fail:	302.734	315.75	397.953
Length   28/2, alignment  9/15, found:	272.625	310.062	369.469
Length   28/2, alignment  9/15, fail:	310.875	339.359	400.391
Length   28/2, alignment 15/ 0, found:	274.25	280.766	348.312
Length   28/2, alignment 15/ 0, fail:	313.312	321.438	367.031
Length   28/2, alignment 15/ 3, found:	265.297	301.109	347.484
Length   28/2, alignment 15/ 3, fail:	305.984	349.109	367.828
Length   28/2, alignment 15/ 9, found:	266.109	288.906	347.484
Length   28/2, alignment 15/ 9, fail:	306.812	330.406	371.094
Length   28/2, alignment 15/15, found:	265.312	303.547	348.297
Length   28/2, alignment 15/15, fail:	305.984	344.234	370.281
Length   30/2, alignment  0/ 0, found:	262.859	277.516	398.766
Length   30/2, alignment  0/ 0, fail:	314.953	327.969	422.359
Length   30/2, alignment  0/ 3, found:	263.672	301.109	396.328
Length   30/2, alignment  0/ 3, fail:	314.938	350.75	424.797
Length   30/2, alignment  0/ 9, found:	264.5	278.312	397.953
Length   30/2, alignment  0/ 9, fail:	314.125	328.781	422.359
Length   30/2, alignment  0/15, found:	262.047	301.109	388.188
Length   30/2, alignment  0/15, fail:	313.312	351.562	419.922
Length   30/2, alignment  3/ 0, found:	269.375	283.203	384.109
Length   30/2, alignment  3/ 0, fail:	319.016	332.844	415.859
Length   30/2, alignment  3/ 3, found:	267.734	303.547	385.734
Length   30/2, alignment  3/ 3, fail:	319	354.812	413.406
Length   30/2, alignment  3/ 9, found:	267.734	281.578	385.734
Length   30/2, alignment  3/ 9, fail:	319.812	334.469	412.609
Length   30/2, alignment  3/15, found:	266.922	306.797	384.922
Length   30/2, alignment  3/15, fail:	328.781	357.266	419.109
Length   30/2, alignment  9/ 0, found:	260.422	275.078	385.734
