                        	wmemset	simple_wmemset
Length 6304, alignment  5, c 195:	6621.09	10560.7
Length 6432, alignment  0, c 195:	6755.38	10773.1
Length 6432, alignment  9, c 195:	6754.56	10948.9
Length 6560, alignment  0, c 195:	6889.64	10983.9
Length 6560, alignment 13, c 195:	6888.83	10988.8
Length 6688, alignment  0, c 195:	7021.48	11201.2
Length 6688, alignment 17, c 195:	7022.3	11202.8
Length 6816, alignment  0, c 195:	7154.14	11417.7
Length 6816, alignment 21, c 195:	7154.94	11413.6
Length 6944, alignment  0, c 195:	7288.41	11627.6
Length 6944, alignment 25, c 195:	7487.8	11628.4
Length 7072, alignment  0, c 195:	7421.88	11838.4
Length 7072, alignment 29, c 195:	7421.88	11840.8
Length 7200, alignment  0, c 195:	7721.34	12054.9
Length 7200, alignment 33, c 195:	7554.53	12058.9
Length 7328, alignment  0, c 195:	7711.59	12268.9
Length 7328, alignment 37, c 195:	7737.64	12269.7
Length 7456, alignment  0, c 195:	7996.42	12482.1
Length 7456, alignment 41, c 195:	7822.27	12483.7
Length 7584, alignment  0, c 195:	7954.91	12695.3
Length 7584, alignment 45, c 195:	7959.8	12694.5
Length 7712, alignment  0, c 195:	8089.19	12908.5
Length 7712, alignment 49, c 195:	8090.02	12907.7
Length 7840, alignment  0, c 195:	8221.02	13296.7
Length 7840, alignment 53, c 195:	8221.02	13123.4
Length 7968, alignment  0, c 195:	8355.3	13332.5
Length 7968, alignment 57, c 195:	8355.3	13335
Length 8096, alignment  0, c 195:	8488.77	13548.2
Length 8096, alignment 61, c 195:	8491.22	13549
