                       	oldstrsep	strsep	simple_strsep
Length   21/3, alignment  9/ 0, found:	321.453	310.859	222.969
Length   21/3, alignment  9/ 0, fail:	351.562	340.172	374.344
Length   21/3, alignment  9/ 3, found:	321.453	310.875	222.172
Length   21/3, alignment  9/ 3, fail:	349.938	341.797	373.531
Length   21/3, alignment  9/ 9, found:	321.438	310.875	222.984
Length   21/3, alignment  9/ 9, fail:	351.562	341.797	375.172
Length   21/3, alignment  9/15, found:	321.453	310.062	221.359
Length   21/3, alignment  9/15, fail:	350.75	340.984	375.156
Length   21/3, alignment 15/ 0, found:	330.391	320.641	222.172
Length   21/3, alignment 15/ 0, fail:	360.516	350.75	374.359
Length   21/3, alignment 15/ 3, found:	330.406	319.828	221.359
Length   21/3, alignment 15/ 3, fail:	360.516	349.938	374.344
Length   21/3, alignment 15/ 9, found:	329.594	321.453	222.984
Length   21/3, alignment 15/ 9, fail:	361.328	349.922	374.344
Length   21/3, alignment 15/15, found:	330.406	320.641	221.359
Length   21/3, alignment 15/15, fail:	359.703	349.922	375.172
Length   16/4, alignment  0/ 0, found:	325.516	316.562	224.609
Length   16/4, alignment  0/ 0, fail:	346.688	336.109	359.703
Length   16/4, alignment  0/ 3, found:	325.531	315.766	223.797
Length   16/4, alignment  0/ 3, fail:	345.062	335.281	358.062
Length   16/4, alignment  0/ 9, found:	325.516	315.75	222.984
Length   16/4, alignment  0/ 9, fail:	344.234	335.297	358.062
Length   16/4, alignment  0/15, found:	327.969	315.75	222.172
Length   16/4, alignment  0/15, fail:	346.688	336.094	358.891
Length   16/4, alignment  3/ 0, found:	325.516	316.578	222.984
Length   16/4, alignment  3/ 0, fail:	346.672	335.297	358.078
Length   16/4, alignment  3/ 3, found:	325.516	315.75	222.969
Length   16/4, alignment  3/ 3, fail:	345.859	335.281	357.25
Length   16/4, alignment  3/ 9, found:	325.516	316.562	222.984
Length   16/4, alignment  3/ 9, fail:	345.859	336.906	358.891
Length   16/4, alignment  3/15, found:	325.516	315.766	222.984
Length   16/4, alignment  3/15, fail:	345.875	334.469	358.078
Length   16/4, alignment  9/ 0, found:	324.719	315.766	221.359
Length   16/4, alignment  9/ 0, fail:	345.859	334.484	358.891
Length   16/4, alignment  9/ 3, found:	325.516	316.562	220.547
Length   16/4, alignment  9/ 3, fail:	346.688	336.094	358.875
Length   16/4, alignment  9/ 9, found:	325.516	315.766	222.984
Length   16/4, alignment  9/ 9, fail:	345.875	336.109	358.062
Length   16/4, alignment  9/15, found:	326.328	314.938	222.172
Length   16/4, alignment  9/15, fail:	344.234	335.297	358.078
Length   16/4, alignment 15/ 0, found:	324.703	315.75	222.172
Length   16/4, alignment 15/ 0, fail:	345.859	335.281	359.688
Length   16/4, alignment 15/ 3, found:	323.906	314.938	222.172
Length   16/4, alignment 15/ 3, fail:	345.875	335.281	358.078
Length   16/4, alignment 15/ 9, found:	324.703	314.938	223.797
Length   16/4, alignment 15/ 9, fail:	345.047	334.484	359.703
Length   16/4, alignment 15/15, found:	325.516	315.766	221.359
Length   16/4, alignment 15/15, fail:	346.688	335.281	358.078
Length   20/4, alignment  0/ 0, found:	325.531	315.75	258.781
Length   20/4, alignment  0/ 0, fail:	355.641	344.234	427.25
Length   20/4, alignment  0/ 3, found:	325.531	314.938	257.156
Length   20/4, alignment  0/ 3, fail:	353.188	344.234	428.875
Length   20/4, alignment  0/ 9, found:	325.516	315.75	257.984
Length   20/4, alignment  0/ 9, fail:	354.812	344.25	428.062
Length   20/4, alignment  0/15, found:	326.328	315.75	257.172
Length   20/4, alignment  0/15, fail:	354.812	345.062	428.062
Length   20/4, alignment  3/ 0, found:	335.281	324.703	257.984
Length   20/4, alignment  3/ 0, fail:	354.828	344.234	428.062
Length   20/4, alignment  3/ 3, found:	334.469	324.719	256.344
Length   20/4, alignment  3/ 3, fail:	355.625	345.047	428.062
Length   20/4, alignment  3/ 9, found:	334.469	324.703	256.344
Length   20/4, alignment  3/ 9, fail:	353.188	344.234	428.875
Length   20/4, alignment  3/15, found:	333.656	324.719	257.172
Length   20/4, alignment  3/15, fail:	355.641	345.062	428.875
Length   20/4, alignment  9/ 0, found:	325.531	315.766	257.172
Length   20/4, alignment  9/ 0, fail:	354.828	345.062	429.688
Length   20/4, alignment  9/ 3, found:	325.516	315.766	257.969
Length   20/4, alignment  9/ 3, fail:	354.828	344.234	428.062
Length   20/4, alignment  9/ 9, found:	324.719	316.578	257.969
Length   20/4, alignment  9/ 9, fail:	354.016	345.047	428.062
Length   20/4, alignment  9/15, found:	325.516	315.766	257.984
Length   20/4, alignment  9/15, fail:	355.641	343.438	428.062
Length   20/4, alignment 15/ 0, found:	334.469	324.703	257.172
Length   20/4, alignment 15/ 0, fail:	354.828	344.234	428.875
Length   20/4, alignment 15/ 3, found:	490.719	326.344	256.344
Length   20/4, alignment 15/ 3, fail:	354.812	345.875	428.062
Length   20/4, alignment 15/ 9, found:	335.281	325.516	257.156
Length   20/4, alignment 15/ 9, fail:	354.016	345.047	428.047
Length   20/4, alignment 15/15, found:	334.469	324.703	257.156
Length   20/4, alignment 15/15, fail:	354.812	345.047	428.062
Length   24/4, alignment  0/ 0, found:	333.656	324.719	292.156
Length   24/4, alignment  0/ 0, fail:	363.766	354	496.406
Length   24/4, alignment  0/ 3, found:	334.469	325.516	292.969
Length   24/4, alignment  0/ 3, fail:	364.578	353.188	498.859
Length   24/4, alignment  0/ 9, found:	334.469	325.516	292.141
Length   24/4, alignment  0/ 9, fail:	363.766	354	498.047
Length   24/4, alignment  0/15, found:	334.469	324.703	292.156
Length   24/4, alignment  0/15, fail:	363.766	354.812	497.234
Length   24/4, alignment  3/ 0, found:	336.906	324.703	292.969
Length   24/4, alignment  3/ 0, fail:	365.391	353.188	498.047
Length   24/4, alignment  3/ 3, found:	334.484	324.703	292.156
Length   24/4, alignment  3/ 3, fail:	364.578	354	497.234
Length   24/4, alignment  3/ 9, found:	334.469	325.516	292.156
Length   24/4, alignment  3/ 9, fail:	363.766	354	498.859
Length   24/4, alignment  3/15, found:	335.297	324.703	291.344
Length   24/4, alignment  3/15, fail:	362.953	354	498.047
Length   24/4, alignment  9/ 0, found:	333.656	323.891	292.969
Length   24/4, alignment  9/ 0, fail:	365.406	353.188	498.047
Length   24/4, alignment  9/ 3, found:	334.469	325.516	292.969
Length   24/4, alignment  9/ 3, fail:	364.578	354	498.047
Length   24/4, alignment  9/ 9, found:	335.297	325.516	291.344
Length   24/4, alignment  9/ 9, fail:	364.578	354.828	499.672
Length   24/4, alignment  9/15, found:	334.469	324.719	291.344
Length   24/4, alignment  9/15, fail:	365.406	353.203	498.047
Length   24/4, alignment 15/ 0, found:	335.281	324.703	291.344
Length   24/4, alignment 15/ 0, fail:	364.578	353.188	498.859
Length   24/4, alignment 15/ 3, found:	335.297	326.328	291.328
Length   24/4, alignment 15/ 3, fail:	364.578	354.812	498.859
Length   24/4, alignment 15/ 9, found:	334.469	325.531	292.156
Length   24/4, alignment 15/ 9, fail:	363.766	353.188	498.859
Length   24/4, alignment 15/15, found:	334.469	325.516	292.156
Length   24/4, alignment 15/15, fail:	364.578	354.812	498.047
Length   28/4, alignment  0/ 0, found:	334.484	324.703	327.141
Length   28/4, alignment  0/ 0, fail:	373.531	363.766	568.047
Length   28/4, alignment  0/ 3, found:	334.469	324.719	327.953
