                       	wcsncmp	simple_wcsncmp	stupid_wcsncmp
Length   14/  13, alignment  0/ 0:	136.719	133.469	248.203
Length   12/  13, alignment  0/ 0:	140.797	134.281	250.656
Length   12/  13, alignment  0/ 0:	139.156	135.906	248.203
Length   12/  13, alignment  0/ 0:	140.781	133.469	250.656
Length   12/  13, alignment  0/ 0:	139.969	133.469	250.656
Length   12/  13, alignment  0/ 0:	138.344	135.906	247.406
Length   12/  13, alignment  0/ 0:	139.984	133.469	249.031
Length   13/  12, alignment  0/ 0:	131.031	126.953	238.438
Length   13/  12, alignment  0/ 0:	130.203	126.953	237.625
Length   11/  12, alignment  0/ 0:	122.078	126.953	235.203
Length   11/  12, alignment  0/ 0:	125.312	129.391	236
Length   11/  12, alignment  0/ 0:	123.688	126.953	236.812
Length   11/  12, alignment  0/ 0:	123.703	127.766	236.812
Length   11/  12, alignment  0/ 0:	126.141	128.578	236.828
Length   11/  12, alignment  0/ 0:	122.891	126.953	236.812
Length   12/  11, alignment  0/ 0:	120.438	118	227.875
Length   12/  11, alignment  0/ 0:	120.453	118	226.234
Length   10/  11, alignment  0/ 0:	123.688	119.625	230.297
Length   10/  11, alignment  0/ 0:	122.078	122.062	227.875
Length   10/  11, alignment  0/ 0:	124.5	119.625	228.672
Length   10/  11, alignment  0/ 0:	124.516	120.438	231.125
Length   10/  11, alignment  0/ 0:	122.062	122.891	226.234
Length   10/  11, alignment  0/ 0:	124.5	119.625	227.062
Length   11/  10, alignment  0/ 0:	115.562	113.922	220.531
Length   11/  10, alignment  0/ 0:	114.75	113.922	220.531
Length    9/  10, alignment  0/ 0:	118.812	113.938	210.781
Length    9/  10, alignment  0/ 0:	117.188	116.375	218.094
Length    9/  10, alignment  0/ 0:	119.641	113.938	218.906
Length    9/  10, alignment  0/ 0:	118.812	113.938	210.781
Length    9/  10, alignment  0/ 0:	116.359	115.562	216.469
Length    9/  10, alignment  0/ 0:	120.438	114.734	217.281
Length   10/   9, alignment  0/ 0:	109.875	107.422	201.016
Length   10/   9, alignment  0/ 0:	110.672	108.234	201.016
Length    8/   9, alignment  0/ 0:	112.297	107.422	202.641
Length    8/   9, alignment  0/ 0:	109.859	107.422	200.188
Length    8/   9, alignment  0/ 0:	112.297	107.422	201
Length    8/   9, alignment  0/ 0:	113.109	106.609	201
Length    8/   9, alignment  0/ 0:	109.062	109.859	201.828
Length    8/   9, alignment  0/ 0:	113.109	107.422	202.641
