                       	strcasestr	simple_strcasestr	stupid_strcasestr
Length   22/2, alignment  3/ 0, fail:	417.484	480.141	925.297
Length   22/2, alignment  3/ 3, found:	584.312	493.156	913.906
Length   22/2, alignment  3/ 3, fail:	417.484	480.141	923.672
Length   22/2, alignment  3/ 9, found:	428.062	494.797	913.906
Length   22/2, alignment  3/ 9, fail:	417.469	480.953	924.484
Length   22/2, alignment  3/15, found:	426.422	494.781	909.828
Length   22/2, alignment  3/15, fail:	416.672	480.969	924.469
Length   22/2, alignment  9/ 0, found:	427.234	492.344	917.156
Length   22/2, alignment  9/ 0, fail:	416.656	480.141	937.5
Length   22/2, alignment  9/ 3, found:	425.625	492.359	914.719
Length   22/2, alignment  9/ 3, fail:	415.844	480.141	929.359
Length   22/2, alignment  9/ 9, found:	426.422	493.156	912.266
Length   22/2, alignment  9/ 9, fail:	416.656	478.516	926.109
Length   22/2, alignment  9/15, found:	426.438	492.344	914.719
Length   22/2, alignment  9/15, fail:	417.484	479.328	926.922
Length   22/2, alignment 15/ 0, found:	426.422	491.531	897.625
Length   22/2, alignment 15/ 0, fail:	415.859	479.328	905.766
Length   22/2, alignment 15/ 3, found:	426.422	492.344	894.359
Length   22/2, alignment 15/ 3, fail:	416.672	480.141	905.766
Length   22/2, alignment 15/ 9, found:	428.062	493.156	895.172
Length   22/2, alignment 15/ 9, fail:	418.297	480.969	908.203
Length   22/2, alignment 15/15, found:	426.438	493.156	893.547
Length   22/2, alignment 15/15, fail:	417.484	479.328	905.766
Length   24/2, alignment  0/ 0, found:	442.703	513.516	1000.16
Length   24/2, alignment  0/ 0, fail:	434.562	496.422	1009.92
Length   24/2, alignment  0/ 3, found:	443.516	509.438	996.094
Length   24/2, alignment  0/ 3, fail:	434.562	496.422	1005.86
Length   24/2, alignment  0/ 9, found:	443.531	510.25	996.906
Length   24/2, alignment  0/ 9, fail:	434.578	497.234	1010.73
Length   24/2, alignment  0/15, found:	442.719	509.438	998.531
Length   24/2, alignment  0/15, fail:	435.391	498.047	1005.03
Length   24/2, alignment  3/ 0, found:	444.344	511.891	988.766
Length   24/2, alignment  3/ 0, fail:	432.938	496.422	999.344
Length   24/2, alignment  3/ 3, found:	443.516	510.25	987.969
Length   24/2, alignment  3/ 3, fail:	433.766	496.422	996.906
Length   24/2, alignment  3/ 9, found:	443.516	509.438	987.141
Length   24/2, alignment  3/ 9, fail:	434.578	496.422	1002.61
Length   24/2, alignment  3/15, found:	441.891	510.25	988.781
Length   24/2, alignment  3/15, fail:	433.766	497.234	997.734
Length   24/2, alignment  9/ 0, found:	442.719	509.453	993.641
Length   24/2, alignment  9/ 0, fail:	433.75	495.609	1009.11
Length   24/2, alignment  9/ 3, found:	444.328	509.438	993.656
Length   24/2, alignment  9/ 3, fail:	433.766	497.234	1003.42
Length   24/2, alignment  9/ 9, found:	441.891	509.438	995.281
Length   24/2, alignment  9/ 9, fail:	432.953	496.422	1004.23
Length   24/2, alignment  9/15, found:	444.344	511.062	992.016
Length   24/2, alignment  9/15, fail:	433.766	496.422	1001.78
Length   24/2, alignment 15/ 0, found:	442.719	508.625	968.422
Length   24/2, alignment 15/ 0, fail:	432.938	496.422	981.453
Length   24/2, alignment 15/ 3, found:	443.516	517.578	968.422
Length   24/2, alignment 15/ 3, fail:	433.766	496.422	982.266
Length   24/2, alignment 15/ 9, found:	444.328	509.438	965.984
Length   24/2, alignment 15/ 9, fail:	434.562	496.406	979
Length   24/2, alignment 15/15, found:	443.516	510.25	966.797
Length   24/2, alignment 15/15, fail:	434.578	497.234	979.016
Length   26/2, alignment  0/ 0, found:	459.797	526.531	1066.91
Length   26/2, alignment  0/ 0, fail:	450.031	513.516	1094.56
Length   26/2, alignment  0/ 3, found:	459.797	527.344	1219.08
Length   26/2, alignment  0/ 3, fail:	450.031	514.312	1083.98
Length   26/2, alignment  0/ 9, found:	459.797	525.719	1064.45
Length   26/2, alignment  0/ 9, fail:	449.219	514.312	1092.12
Length   26/2, alignment  0/15, found:	460.609	523.281	1070.16
Length   26/2, alignment  0/15, fail:	450.844	514.328	1092.94
Length   26/2, alignment  3/ 0, found:	459.812	525.719	1059.56
Length   26/2, alignment  3/ 0, fail:	450.844	513.516	1086.44
Length   26/2, alignment  3/ 3, found:	459.797	525.703	1057.94
Length   26/2, alignment  3/ 3, fail:	450.031	514.328	1083.17
Length   26/2, alignment  3/ 9, found:	460.609	526.531	1060.39
Length   26/2, alignment  3/ 9, fail:	450.031	512.688	1086.42
Length   26/2, alignment  3/15, found:	459.797	526.531	1059.56
Length   26/2, alignment  3/15, fail:	450.844	515.141	1075.05
Length   26/2, alignment  9/ 0, found:	460.625	526.531	1063.64
Length   26/2, alignment  9/ 0, fail:	449.219	514.328	1082.36
Length   26/2, alignment  9/ 3, found:	458.172	525.719	1062.83
Length   26/2, alignment  9/ 3, fail:	450.047	513.516	1075.84
Length   26/2, alignment  9/ 9, found:	459.797	528.156	1064.45
Length   26/2, alignment  9/ 9, fail:	450.031	513.5	1078.28
Length   26/2, alignment  9/15, found:	458.984	525.719	1064.45
Length   26/2, alignment  9/15, fail:	449.219	512.688	1079.91
Length   26/2, alignment 15/ 0, found:	458.984	527.344	1044.92
Length   26/2, alignment 15/ 0, fail:	450.031	512.688	1058.77
Length   26/2, alignment 15/ 3, found:	458.984	524.891	1046.55
Length   26/2, alignment 15/ 3, fail:	451.672	512.688	1057.94
Length   26/2, alignment 15/ 9, found:	458.984	525.719	1047.36
Length   26/2, alignment 15/ 9, fail:	449.219	511.891	1061.19
Length   26/2, alignment 15/15, found:	458.172	528.156	1046.55
Length   26/2, alignment 15/15, fail:	449.219	514.328	1056.33
Length   28/2, alignment  0/ 0, found:	476.078	542	1140.95
Length   28/2, alignment  0/ 0, fail:	467.125	530.609	1150.72
Length   28/2, alignment  0/ 3, found:	476.891	543.625	1140.12
Length   28/2, alignment  0/ 3, fail:	467.125	530.594	1168.61
Length   28/2, alignment  0/ 9, found:	477.703	542	1140.14
Length   28/2, alignment  0/ 9, fail:	466.312	528.969	1152.34
Length   28/2, alignment  0/15, found:	477.703	542.812	1141.77
Length   28/2, alignment  0/15, fail:	468.75	528.969	1154.78
Length   28/2, alignment  3/ 0, found:	476.891	543.625	1132.81
Length   28/2, alignment  3/ 0, fail:	467.938	531.406	1150.72
Length   28/2, alignment  3/ 3, found:	476.062	541.984	1133.62
Length   28/2, alignment  3/ 3, fail:	467.922	530.594	1145.83
Length   28/2, alignment  3/ 9, found:	476.078	542.812	1133.64
Length   28/2, alignment  3/ 9, fail:	467.938	530.594	1148.27
Length   28/2, alignment  3/15, found:	476.891	542.797	1133.62
Length   28/2, alignment  3/15, fail:	467.125	530.609	1158.84
Length   28/2, alignment  9/ 0, found:	475.266	543.625	1138.52
Length   28/2, alignment  9/ 0, fail:	466.312	530.594	1155.59
Length   28/2, alignment  9/ 3, found:	476.891	545.25	1136.88
Length   28/2, alignment  9/ 3, fail:	467.109	529.781	1151.53
Length   28/2, alignment  9/ 9, found:	476.078	542	1137.7
Length   28/2, alignment  9/ 9, fail:	466.297	529.781	1149.08
Length   28/2, alignment  9/15, found:	476.891	543.609	1135.25
Length   28/2, alignment  9/15, fail:	820.312	532.219	1153.97
Length   28/2, alignment 15/ 0, found:	476.875	542.812	1118.17
Length   28/2, alignment 15/ 0, fail:	467.938	529.781	1134.44
Length   28/2, alignment 15/ 3, found:	477.703	541.984	1118.98
Length   28/2, alignment 15/ 3, fail:	465.484	530.594	1130.38
Length   28/2, alignment 15/ 9, found:	476.078	542.812	1118.17
Length   28/2, alignment 15/ 9, fail:	467.125	531.406	1132
Length   28/2, alignment 15/15, found:	476.078	543.625	1118.17
Length   28/2, alignment 15/15, fail:	466.312	530.594	1131.98
Length   30/2, alignment  0/ 0, found:	492.344	559.078	1218.27
Length   30/2, alignment  0/ 0, fail:	483.406	546.875	1241.05
Length   30/2, alignment  0/ 3, found:	493.172	559.906	1212.56
Length   30/2, alignment  0/ 3, fail:	483.406	546.875	1239.42
Length   30/2, alignment  0/ 9, found:	492.359	560.719	1214.19
Length   30/2, alignment  0/ 9, fail:	483.406	546.875	1225.58
Length   30/2, alignment  0/15, found:	493.984	562.344	1212.58
Length   30/2, alignment  0/15, fail:	483.391	546.062	1226.41
Length   30/2, alignment  3/ 0, found:	492.344	559.094	1210.12
Length   30/2, alignment  3/ 0, fail:	483.391	546.047	1224.77
Length   30/2, alignment  3/ 3, found:	493.969	559.891	1210.12
Length   30/2, alignment  3/ 3, fail:	483.391	546.875	1223.97
Length   30/2, alignment  3/ 9, found:	492.344	560.703	1210.12
Length   30/2, alignment  3/ 9, fail:	483.406	546.875	1238.61
